subject,scan,n_blinks,mean_blink_dur,median_blink_dur,n_microsleeps
146432,REST4,352,862.6534090909091,225.0,93
146432,MOV1,669,316.85949177877427,173.0,28
146432,MOV2,517,174.67117988394585,155.0,7
146432,MOV3,373,477.4932975871314,134.0,27
146432,MOV4,368,490.58152173913044,142.0,39
130518,REST1,273,2167.4139194139193,88.0,53
130518,REST4,136,6852.073529411765,210.5,38
130518,MOV1,269,919.3159851301115,133.0,44
130518,MOV2,225,731.3377777777778,125.0,32
130518,MOV3,53,1165.433962264151,240.0,8
130518,MOV4,172,2343.593023255814,266.5,39
200210,REST1,0,,,0
200210,REST4,122,312.45081967213116,196.5,9
200210,MOV1,0,,,0
200210,MOV2,0,,,0
200210,MOV3,144,236.57638888888889,84.0,9
200210,MOV4,176,280.65909090909093,71.5,11
878776,REST1,446,180.62331838565024,173.5,0
878776,REST4,453,139.27814569536423,156.0,0
878776,MOV1,365,147.8876712328767,143.0,0
878776,MOV2,342,150.25438596491227,143.0,0
878776,MOV3,756,86.19179894179894,81.5,1
878776,MOV4,541,98.14417744916821,108.0,1
193845,REST1,97,205.91752577319588,162.0,1
193845,REST4,148,193.21621621621622,144.0,3
193845,MOV1,575,388.7095652173913,162.0,49
193845,MOV2,633,1000.8404423380726,438.0,177
193845,MOV3,618,468.7928802588997,196.0,69
193845,MOV4,234,140.74358974358975,128.0,0
572045,REST1,745,1009.5208053691275,152.0,146
572045,REST4,517,1674.5357833655705,252.0,107
572045,MOV1,709,347.17489421720734,214.0,42
572045,MOV2,593,486.212478920742,236.0,53
572045,MOV3,879,935.7986348122867,410.0,215
572045,MOV4,707,1216.8373408769448,408.0,220
111312,REST1,569,271.67662565905096,227.0,12
111312,REST4,0,,,0
111312,MOV1,618,218.5728155339806,224.0,1
111312,MOV2,578,191.5051903114187,177.0,1
111312,MOV3,530,172.34716981132075,155.5,0
111312,MOV4,548,156.57299270072994,138.0,1
201515,REST1,82,389.3414634146341,149.5,6
201515,REST4,170,215.74117647058824,119.0,7
201515,MOV1,99,362.7070707070707,123.0,6
201515,MOV2,65,383.96923076923076,129.0,7
201515,MOV3,106,199.80188679245282,123.0,4
201515,MOV4,116,178.22413793103448,125.5,3
573249,REST1,516,334.6162790697674,224.5,28
573249,REST4,418,179.26315789473685,155.0,2
573249,MOV1,994,642.8189134808853,167.0,159
573249,MOV2,602,1066.654485049834,207.5,115
573249,MOV3,741,170.2901484480432,109.0,12
573249,MOV4,1962,263.9622833843017,24.0,140
825048,REST1,189,195.58201058201058,188.0,0
825048,REST4,510,147.99019607843138,140.5,0
825048,MOV1,628,219.89012738853503,173.0,8
825048,MOV2,644,324.1972049689441,227.0,15
825048,MOV3,705,187.7659574468085,128.0,12
825048,MOV4,794,152.32241813602016,126.0,5
203418,REST1,404,132.29207920792078,89.5,4
203418,REST4,336,69.5922619047619,65.0,1
203418,MOV1,598,78.1438127090301,77.0,0
203418,MOV2,672,77.29017857142857,77.0,0
203418,MOV3,1690,70.4337278106509,30.0,11
203418,MOV4,2775,68.79207207207207,27.0,15
393247,REST1,246,2910.0243902439024,192.0,40
393247,REST4,284,293.09859154929575,161.0,16
393247,MOV1,692,311.7080924855491,184.0,17
393247,MOV2,420,674.6261904761905,183.0,43
393247,MOV3,359,541.6044568245126,177.0,11
393247,MOV4,331,507.89728096676737,178.0,10
406836,REST1,82,186.65853658536585,199.5,0
406836,REST4,66,197.3030303030303,191.5,0
406836,MOV1,215,175.27441860465117,38.0,5
406836,MOV2,287,250.794425087108,44.0,15
406836,MOV3,98,199.07142857142858,186.0,1
406836,MOV4,107,175.4018691588785,178.0,1
162935,REST1,337,121.81008902077151,104.0,1
162935,REST4,515,100.97864077669902,96.0,0
162935,MOV1,309,114.51132686084142,100.0,0
162935,MOV2,261,142.13793103448276,120.0,1
162935,MOV3,551,163.48094373865698,100.0,13
162935,MOV4,378,183.88888888888889,138.0,13
128935,REST1,808,291.5532178217822,172.0,38
128935,REST4,396,203.87121212121212,188.5,3
128935,MOV1,1737,374.98215313759357,47.0,178
128935,MOV2,1351,420.1139896373057,87.0,145
128935,MOV3,479,336.7849686847599,182.0,29
128935,MOV4,579,337.61312607944734,162.0,28
581450,REST1,506,2073.310276679842,72.0,95
581450,REST4,691,832.1490593342982,141.0,108
581450,MOV1,1303,607.4297774366846,95.0,243
581450,MOV2,605,244.72561983471076,206.0,2
581450,MOV3,739,425.2530446549391,156.0,58
581450,MOV4,570,484.1421052631579,186.5,35
789373,REST1,167,297.03592814371257,222.0,6
789373,REST4,357,799.6358543417367,263.0,65
789373,MOV1,267,193.57303370786516,134.0,7
789373,MOV2,324,230.08333333333334,139.5,11
789373,MOV3,537,291.8957169459963,149.0,18
789373,MOV4,590,630.0813559322033,96.0,55
467351,REST1,273,247.78388278388277,62.0,15
467351,REST4,21,251.33333333333334,201.0,0
467351,MOV1,373,97.05093833780161,20.0,3
467351,MOV2,186,57.24193548387097,9.0,1
467351,MOV3,98,163.89795918367346,143.5,1
467351,MOV4,88,136.72727272727272,82.5,0
562345,REST1,417,1148.5395683453237,147.0,88
562345,REST4,222,3388.7072072072074,187.0,56
562345,MOV1,299,902.5351170568562,128.0,52
562345,MOV2,237,953.0337552742616,151.0,48
562345,MOV3,114,955.640350877193,127.5,16
562345,MOV4,45,747.7111111111111,210.0,4
195041,REST1,370,159.72702702702702,203.0,0
195041,REST4,427,189.50351288056206,216.0,1
195041,MOV1,581,267.6919104991394,224.0,27
195041,MOV2,500,591.09,240.0,71
195041,MOV3,503,193.46918489065607,199.0,3
195041,MOV4,443,824.4604966139955,265.0,70
145834,REST1,0,,,0
145834,REST4,167,4324.526946107784,67.0,23
145834,MOV1,618,373.8187702265372,63.5,64
145834,MOV2,888,616.5022522522522,35.0,149
145834,MOV3,273,769.4578754578755,160.0,40
145834,MOV4,229,1356.659388646288,319.0,48
214524,REST1,145,158.20689655172413,157.0,0
214524,REST4,143,150.6993006993007,149.0,0
214524,MOV1,367,152.13896457765668,144.0,2
214524,MOV2,638,133.70532915360502,120.5,4
214524,MOV3,338,209.4940828402367,158.0,7
214524,MOV4,232,183.0301724137931,149.0,2
171633,REST1,851,144.16803760282022,126.0,3
171633,REST4,1409,165.07735982966642,123.0,24
171633,MOV1,914,160.6422319474836,140.0,3
171633,MOV2,778,167.73521850899743,132.0,6
171633,MOV3,1209,272.32092638544253,114.0,11
171633,MOV4,837,429.78136200716847,161.0,9
169040,REST1,0,,,0
169040,REST4,438,1230.2511415525114,99.0,65
169040,MOV1,0,,,0
169040,MOV2,0,,,0
169040,MOV3,241,575.5145228215767,155.0,29
169040,MOV4,211,2110.5829383886257,135.0,36
654552,REST1,570,333.47719298245613,171.0,30
654552,REST4,499,194.64128256513027,132.0,10
654552,MOV1,437,676.9244851258582,144.0,50
654552,MOV2,430,623.413953488372,123.0,33
654552,MOV3,351,507.2079772079772,98.0,22
654552,MOV4,281,310.19928825622776,76.0,9
175237,REST1,316,2038.6962025316457,306.0,79
175237,REST4,104,402.86538461538464,264.0,9
175237,MOV1,316,188.6360759493671,192.0,0
175237,MOV2,605,1039.1454545454546,48.0,107
175237,MOV3,175,252.02857142857144,187.0,6
175237,MOV4,150,381.6066666666667,217.5,12
871762,REST1,970,698.4680412371134,222.5,156
871762,REST4,811,241.06535141800248,194.0,10
871762,MOV1,1261,658.4639175257732,34.0,234
871762,MOV2,2555,97.00743639921723,19.0,31
871762,MOV3,769,278.1040312093628,189.0,25
871762,MOV4,572,442.6206293706294,192.0,52
167440,REST1,655,324.0610687022901,220.0,31
167440,REST4,658,232.8920972644377,218.0,3
167440,MOV1,931,188.0,167.0,9
167440,MOV2,803,241.02864259028644,184.0,19
167440,MOV3,798,245.74185463659148,173.0,18
167440,MOV4,774,242.98062015503876,188.0,17
346137,REST1,0,,,0
346137,REST4,468,1642.8397435897436,78.0,67
346137,MOV1,484,349.90909090909093,86.5,25
346137,MOV2,239,667.3138075313808,172.0,8
346137,MOV3,591,351.3705583756345,197.0,23
346137,MOV4,710,302.6591549295775,188.0,29
547046,REST1,379,343.78891820580475,321.0,14
547046,REST4,651,231.83870967741936,163.0,7
547046,MOV1,743,679.5679676985195,47.0,91
547046,MOV2,197,4634.812182741117,74.0,23
547046,MOV3,873,699.4341351660939,40.0,98
547046,MOV4,693,1112.4646464646464,20.0,58
212419,REST1,0,,,0
212419,REST4,0,,,0
212419,MOV1,515,346.37087378640774,71.0,39
212419,MOV2,658,774.2507598784194,115.5,100
212419,MOV3,964,149.08298755186723,35.0,16
212419,MOV4,448,122.03125,65.0,3
148133,REST1,471,1302.4288747346072,248.0,38
148133,REST4,557,513.7289048473967,213.0,30
148133,MOV1,1043,215.07861936720997,209.0,1
148133,MOV2,1070,164.9691588785047,155.0,1
148133,MOV3,904,181.5796460176991,136.0,8
148133,MOV4,924,130.08982683982683,110.0,4
401422,REST1,7,219.57142857142858,141.0,0
401422,REST4,353,157.05665722379604,138.0,2
401422,MOV1,424,189.6061320754717,133.0,5
401422,MOV2,376,191.52659574468086,130.0,8
401422,MOV3,1126,493.4511545293073,233.0,167
401422,MOV4,797,666.6649937264742,277.0,139
365343,REST1,1802,192.78301886792454,161.0,30
365343,REST4,780,165.66538461538462,150.5,0
365343,MOV1,1576,124.05203045685279,80.0,15
365343,MOV2,972,171.82716049382717,146.0,9
365343,MOV3,639,157.39123630672927,141.0,0
365343,MOV4,615,173.9739837398374,152.0,3
644246,REST1,332,282.5421686746988,280.0,0
644246,REST4,379,240.7994722955145,236.0,2
644246,MOV1,371,318.5660377358491,289.0,3
644246,MOV2,361,294.5096952908587,270.0,2
644246,MOV3,185,224.61621621621623,232.0,0
644246,MOV4,277,190.4259927797834,213.0,0
585256,REST1,289,2785.138408304498,161.0,39
585256,REST4,363,1631.793388429752,169.0,42
585256,MOV1,175,4723.137142857143,164.0,26
585256,MOV2,0,,,0
585256,MOV3,402,936.7587064676617,138.5,43
585256,MOV4,394,458.0939086294416,136.0,25
192439,REST1,635,389.3433070866142,306.0,25
192439,REST4,434,223.15437788018434,207.0,0
192439,MOV1,574,782.4163763066202,281.0,85
192439,MOV2,1153,389.26105810928016,182.0,93
192439,MOV3,468,243.36324786324786,186.0,10
192439,MOV4,570,431.15263157894736,214.5,54
199655,REST1,274,3085.7627737226276,74.0,28
199655,REST4,301,605.1794019933554,30.0,18
199655,MOV1,445,621.1685393258427,59.0,42
199655,MOV2,1056,391.9109848484849,17.0,46
199655,MOV3,446,556.780269058296,50.0,23
199655,MOV4,658,1155.1732522796353,70.0,103
173334,REST1,540,898.1092592592593,175.5,91
173334,REST4,369,1118.7750677506774,232.0,91
173334,MOV1,1084,311.5673431734317,32.0,62
173334,MOV2,1284,253.9532710280374,20.0,61
173334,MOV3,521,373.2591170825336,73.0,23
173334,MOV4,754,246.69230769230768,23.0,29
251833,REST1,244,822.6598360655738,159.5,28
251833,REST4,390,100.7025641025641,67.5,1
251833,MOV1,363,518.8457300275483,151.0,38
251833,MOV2,205,134.0341463414634,120.0,1
251833,MOV3,613,334.8531810766721,156.0,43
251833,MOV4,537,1054.024208566108,29.0,69
818859,REST1,1057,143.47303689687794,64.0,13
818859,REST4,667,692.6041979010495,234.0,101
818859,MOV1,1011,128.86251236399605,83.0,9
818859,MOV2,637,106.70015698587127,97.0,1
818859,MOV3,624,437.69070512820514,182.0,30
818859,MOV4,508,403.9271653543307,141.0,15
209228,REST1,286,180.02797202797203,105.0,6
209228,REST4,386,148.9559585492228,107.0,2
209228,MOV1,204,101.77450980392157,98.0,0
209228,MOV2,172,132.9360465116279,104.0,1
209228,MOV3,469,136.33262260127933,114.0,3
209228,MOV4,524,153.90076335877862,99.0,7
164636,REST1,93,104.01075268817205,103.0,0
164636,REST4,41,125.17073170731707,84.0,1
164636,MOV1,70,129.95714285714286,118.0,0
164636,MOV2,98,130.29591836734693,113.0,0
164636,MOV3,87,133.11494252873564,117.0,1
164636,MOV4,107,182.84112149532712,109.0,1
680957,REST1,914,558.7669584245076,312.0,92
680957,REST4,1336,387.50748502994014,278.0,88
680957,MOV1,980,271.71122448979594,237.0,14
680957,MOV2,1025,252.36878048780488,225.0,23
680957,MOV3,1287,413.3076923076923,223.0,81
680957,MOV4,1100,511.75636363636363,234.5,82
221319,REST1,32,30300.5625,414.5,10
221319,REST4,3,330623.6666666667,6269.0,2
221319,MOV1,215,2769.9767441860463,274.0,50
221319,MOV2,148,5263.743243243243,276.5,39
221319,MOV3,6,167533.66666666666,89879.0,5
221319,MOV4,10,98056.2,47054.0,7
395756,REST1,1202,116.94093178036606,121.0,0
395756,REST4,572,250.3409090909091,172.0,1
395756,MOV1,1874,99.0581643543223,55.0,2
395756,MOV2,1633,81.94182486221678,41.0,0
395756,MOV3,894,225.48769574944072,154.5,7
395756,MOV4,915,222.35409836065574,146.0,4
146735,REST1,147,146.87074829931973,148.0,0
146735,REST4,207,248.40579710144928,180.0,6
146735,MOV1,290,163.09655172413792,166.0,0
146735,MOV2,257,148.58365758754863,152.0,0
146735,MOV3,315,188.74920634920636,176.0,2
146735,MOV4,285,168.140350877193,170.0,0
105923,REST1,210,1843.1142857142856,261.0,57
105923,REST4,160,287.475,178.0,8
105923,MOV1,198,200.67676767676767,160.0,3
105923,MOV2,153,242.7058823529412,157.0,3
105923,MOV3,103,336.70873786407765,165.0,6
105923,MOV4,96,339.9791666666667,152.0,5
814649,REST1,399,166.52130325814537,148.0,4
814649,REST4,562,244.7455516014235,228.5,10
814649,MOV1,527,173.47438330170777,143.0,5
814649,MOV2,493,214.84584178498986,150.0,8
814649,MOV3,553,215.5515370705244,193.0,10
814649,MOV4,581,258.5456110154905,179.0,21
130114,REST1,37,240.8918918918919,160.0,2
130114,REST4,67,341.3731343283582,162.0,7
130114,MOV1,81,118.8641975308642,121.0,0
130114,MOV2,60,141.16666666666666,134.0,0
130114,MOV3,98,530.8673469387755,133.5,9
130114,MOV4,82,376.219512195122,138.0,6
943862,REST1,273,2647.3919413919416,1041.0,138
943862,REST4,146,166.13013698630138,105.0,1
943862,MOV1,303,812.2871287128713,160.0,48
943862,MOV2,188,503.22340425531917,102.0,15
943862,MOV3,264,218.5151515151515,99.5,5
943862,MOV4,268,159.78731343283582,91.0,5
751550,REST1,438,117.5730593607306,88.5,0
751550,REST4,360,336.6638888888889,153.0,28
751550,MOV1,667,209.43778110944527,96.0,14
751550,MOV2,754,192.38594164456234,98.5,15
751550,MOV3,504,613.4761904761905,137.5,78
751550,MOV4,516,391.7422480620155,133.0,37
169747,REST1,481,465.71309771309774,236.0,53
169747,REST4,499,413.0100200400802,245.0,35
169747,MOV1,374,397.4866310160428,222.5,24
169747,MOV2,528,276.9015151515151,201.0,12
169747,MOV3,492,539.609756097561,236.5,55
169747,MOV4,472,549.2521186440678,225.0,57
436845,REST1,861,236.58536585365854,23.0,32
436845,REST4,438,349.5068493150685,279.0,10
436845,MOV1,736,725.3233695652174,232.5,90
436845,MOV2,496,1350.5423387096773,239.5,84
436845,MOV3,717,368.64993026499303,246.0,43
436845,MOV4,606,362.5115511551155,262.0,31
318637,REST1,547,156.0109689213894,151.0,3
318637,REST4,439,201.48291571753987,145.0,11
318637,MOV1,410,188.7658536585366,185.0,1
318637,MOV2,520,204.4403846153846,184.0,4
318637,MOV3,563,149.46181172291296,140.0,5
318637,MOV4,699,192.60801144492132,133.0,13
283543,REST1,236,1207.3813559322034,291.0,64
283543,REST4,245,801.3387755102041,260.0,46
283543,MOV1,166,2555.602409638554,255.0,54
283543,MOV2,300,493.34,198.0,11
283543,MOV3,173,1738.1156069364163,176.0,32
283543,MOV4,149,852.0671140939597,190.0,8
125525,REST1,158,6486.354430379747,951.0,76
125525,REST4,614,900.6498371335505,366.5,130
125525,MOV1,381,1256.8372703412074,503.0,105
125525,MOV2,409,1006.5207823960881,508.0,84
125525,MOV3,803,572.4856787048568,289.0,101
125525,MOV4,580,412.42413793103447,272.0,29
899885,REST1,672,931.1636904761905,373.5,131
899885,REST4,723,190.18672199170123,34.0,5
899885,MOV1,1220,565.9622950819672,23.5,152
899885,MOV2,1125,745.3306666666666,44.0,195
899885,MOV3,1115,280.21973094170403,62.0,53
899885,MOV4,1056,402.96022727272725,55.5,68
757764,REST1,171,249.09941520467837,274.0,0
757764,REST4,397,328.639798488665,152.0,22
757764,MOV1,518,144.81853281853282,30.0,7
757764,MOV2,192,236.91666666666666,130.0,4
757764,MOV3,96,249.9375,237.0,0
757764,MOV4,94,264.3191489361702,241.0,1
150423,REST1,0,,,0
150423,REST4,1075,993.5590697674419,55.0,174
150423,MOV1,1,1011827.0,1011827.0,1
150423,MOV2,1,1008154.0,1008154.0,1
150423,MOV3,384,2579.8828125,53.0,89
150423,MOV4,131,7504.137404580153,41.0,28
157336,REST1,207,872.7487922705315,155.0,27
157336,REST4,179,261.9106145251397,160.0,8
157336,MOV1,256,296.51953125,152.0,14
157336,MOV2,479,308.06471816283926,118.0,24
157336,MOV3,380,206.08684210526314,134.0,10
157336,MOV4,550,148.13454545454545,123.0,3
872764,REST1,307,429.1661237785016,402.0,14
872764,REST4,1,1102400.0,1102400.0,1
872764,MOV1,781,886.3098591549295,53.0,133
872764,MOV2,614,713.6547231270358,349.0,90
872764,MOV3,1369,512.27319211103,28.0,127
872764,MOV4,1667,289.0215956808638,12.0,49
126426,REST1,325,617.2738461538462,236.0,53
126426,REST4,344,225.76162790697674,224.0,0
126426,MOV1,402,265.8756218905473,250.0,6
126426,MOV2,375,277.06666666666666,244.0,6
126426,MOV3,461,767.9696312364425,260.0,78
126426,MOV4,563,286.404973357016,224.0,17
200311,REST1,717,293.20641562064156,220.0,17
200311,REST4,668,373.78592814371257,246.0,46
200311,MOV1,460,277.94347826086954,177.0,14
200311,MOV2,329,208.6109422492401,155.0,4
200311,MOV3,595,388.0621848739496,179.0,42
200311,MOV4,554,305.5054151624549,162.0,25
330324,REST1,168,106.32142857142857,121.0,0
330324,REST4,883,303.0317100792752,151.0,43
330324,MOV1,339,214.6843657817109,160.0,9
330324,MOV2,256,196.93359375,133.5,8
330324,MOV3,685,158.27883211678832,126.0,5
330324,MOV4,382,169.59685863874344,128.0,7
115825,REST1,591,1232.7225042301184,215.0,62
115825,REST4,315,2763.0476190476193,187.0,69
115825,MOV1,541,891.438077634011,268.0,38
115825,MOV2,659,868.4233687405159,233.0,46
115825,MOV3,829,426.24246079613994,193.0,52
115825,MOV4,868,572.5898617511521,203.0,105
782561,REST1,622,437.1254019292605,171.5,46
782561,REST4,411,120.73722627737226,80.0,5
782561,MOV1,561,289.88235294117646,191.0,22
782561,MOV2,627,371.1499202551834,152.0,22
782561,MOV3,1286,224.16640746500778,154.0,31
782561,MOV4,1025,224.05853658536586,138.0,38
132118,REST1,706,546.7365439093485,451.0,95
132118,REST4,459,382.6296296296296,318.0,11
132118,MOV1,484,525.2685950413223,403.0,45
132118,MOV2,808,412.34158415841586,326.0,75
132118,MOV3,849,520.9305064782096,305.0,112
132118,MOV4,707,639.3606789250354,325.0,103
191033,REST1,156,333.6666666666667,327.0,1
191033,REST4,169,223.07100591715977,226.0,0
191033,MOV1,607,499.3047775947282,313.0,40
191033,MOV2,720,827.6166666666667,277.0,113
191033,MOV3,242,449.4504132231405,239.0,12
191033,MOV4,298,264.3859060402685,216.5,5
181232,REST1,0,,,0
181232,REST4,0,,,0
181232,MOV1,1093,676.5471180237878,111.0,153
181232,MOV2,1213,397.51772464962903,45.0,105
181232,MOV3,1463,429.1285030758715,44.0,120
181232,MOV4,1840,272.99239130434785,36.0,111
898176,REST1,0,,,0
898176,REST4,0,,,0
898176,MOV1,390,180.16666666666666,18.0,12
898176,MOV2,84,200.79761904761904,177.0,0
898176,MOV3,0,,,0
898176,MOV4,0,,,0
102816,REST1,354,2268.0254237288136,372.5,97
102816,REST4,107,8827.196261682244,540.0,42
102816,MOV1,193,4780.756476683938,562.0,77
102816,MOV2,293,2860.5767918088736,409.0,107
102816,MOV3,405,2052.0493827160494,377.0,96
102816,MOV4,339,2648.0176991150443,179.0,76
926862,REST1,199,307.33668341708545,225.0,10
926862,REST4,236,206.50423728813558,188.0,1
926862,MOV1,364,171.96153846153845,166.0,2
926862,MOV2,309,178.59870550161813,171.0,1
926862,MOV3,337,213.9940652818991,173.0,7
926862,MOV4,271,197.42435424354244,166.0,3
927359,REST1,265,234.96981132075473,200.0,3
927359,REST4,282,283.15248226950354,221.0,7
927359,MOV1,226,147.34513274336283,138.0,0
927359,MOV2,176,140.73863636363637,137.0,1
927359,MOV3,154,186.42857142857142,167.0,0
927359,MOV4,167,201.5748502994012,167.0,2
671855,REST1,160,486.14375,237.5,17
671855,REST4,106,152.26415094339623,126.5,2
671855,MOV1,93,188.3978494623656,163.0,2
671855,MOV2,88,176.1590909090909,152.0,2
671855,MOV3,137,126.33576642335767,125.0,0
671855,MOV4,129,135.64341085271317,107.0,2
745555,REST1,0,,,0
