Subject,REST1_7T_PA_Movement_RelativeRMS_mean,REST4_7T_AP_Movement_RelativeRMS_mean,MOVIE1_7T_AP_Movement_RelativeRMS_mean,MOVIE2_7T_PA_Movement_RelativeRMS_mean,MOVIE3_7T_PA_Movement_RelativeRMS_mean,MOVIE4_7T_AP_Movement_RelativeRMS_mean,twomen_Movement_RelativeRMS_mean,twomen_SameRestBlock_Movement_RelativeRMS_mean,bridgeville_Movement_RelativeRMS_mean,bridgeville_SameRestBlock_Movement_RelativeRMS_mean,pockets_Movement_RelativeRMS_mean,pockets_SameRestBlock_Movement_RelativeRMS_mean,overcome_Movement_RelativeRMS_mean,overcome_SameRestBlock_Movement_RelativeRMS_mean,testretest1_Movement_RelativeRMS_mean,testretest1_SameRestBlock_Movement_RelativeRMS_mean,inception_Movement_RelativeRMS_mean,inception_SameRestBlock_Movement_RelativeRMS_mean,socialnet_Movement_RelativeRMS_mean,socialnet_SameRestBlock_Movement_RelativeRMS_mean,oceans_Movement_RelativeRMS_mean,oceans_SameRestBlock_Movement_RelativeRMS_mean,testretest2_Movement_RelativeRMS_mean,testretest2_SameRestBlock_Movement_RelativeRMS_mean,flower_Movement_RelativeRMS_mean,flower_SameRestBlock_Movement_RelativeRMS_mean,hotel_Movement_RelativeRMS_mean,hotel_SameRestBlock_Movement_RelativeRMS_mean,garden_Movement_RelativeRMS_mean,garden_SameRestBlock_Movement_RelativeRMS_mean,dreary_Movement_RelativeRMS_mean,dreary_SameRestBlock_Movement_RelativeRMS_mean,testretest3_Movement_RelativeRMS_mean,testretest3_SameRestBlock_Movement_RelativeRMS_mean,homealone_Movement_RelativeRMS_mean,homealone_SameRestBlock_Movement_RelativeRMS_mean,brokovich_Movement_RelativeRMS_mean,brokovich_SameRestBlock_Movement_RelativeRMS_mean,starwars_Movement_RelativeRMS_mean,starwars_SameRestBlock_Movement_RelativeRMS_mean,testretest4_Movement_RelativeRMS_mean,testretest4_SameRestBlock_Movement_RelativeRMS_mean
125525,0.0809915,0.0874495,0.156573,0.103262,0.0796572,0.108686,0.1390449885714286,0.0719927384489796,0.17684997692307694,0.0838195897285068,0.1817015526595745,0.08522413132978723,0.13691493333333332,0.07525923650793652,0.1545072481927711,0.0936597512195122,0.08474374394736843,0.0722096570614035,0.10827687698841698,0.08204731362934363,0.11751655576,0.08368806756000001,0.09377466879518073,0.09316927108433734,0.06663345188888889,0.07122166444444444,0.08070519713513515,0.08517635945945946,0.09002312955665025,0.09346971034482757,0.09258853006993008,0.0935821006993007,0.08725696024096385,0.09224831927710844,0.10459008722222222,0.07285926410256412,0.10770831731601731,0.0888987922077922,0.11985904313725489,0.09524246509803921,0.10487150120481929,0.09991214096385541
126426,0.151173,0.104613,0.13648,0.137256,0.094675,0.112673,0.11242758869387755,0.1255095324897959,0.11521988158371041,0.1583007452488688,0.14017031329787236,0.17238965904255318,0.14747224603174602,0.15962371111111112,0.14876533734939756,0.16557727829268293,0.11693010263157894,0.12128509412280701,0.09440664131274132,0.15871811274131276,0.09334574720000001,0.170314354,0.14138183012048192,0.1658466725301205,0.05109567966666668,0.07038023952777778,0.08963460216216217,0.10520712540540539,0.11061614876847292,0.11728836073891626,0.10536253776223777,0.12207445160839164,0.10495589397590363,0.12975285903614456,0.1078845850854701,0.07605347655982907,0.11162540329004329,0.1053198748917749,0.10853575176470588,0.1216948734117647,0.10631716987951806,0.13292231325301204
126931,0.250285,0.309949,0.289066,0.241434,0.236235,0.243518,0.2615564726530612,0.19716758559183672,0.29482979728506786,0.24463298280542986,0.3089225138297872,0.28286608882978725,0.2792405888888889,0.29967898412698407,0.3435089759036145,0.2917270487804878,0.21275510614035087,0.19407742311403509,0.2331196945945946,0.24478971235521238,0.26743578919999994,0.2944982428,0.26578026385542164,0.2967377469879518,0.23505623666666667,0.26060603388888887,0.23149792918918918,0.2901077345945946,0.2216161290640394,0.3228376453201971,0.24960052517482514,0.38379248881118877,0.25885914578313246,0.3400865795180723,0.2083766670940171,0.26187032564102564,0.26458169480519483,0.30065288484848474,0.24560547215686276,0.3545661882352941,0.25689156385542167,0.344953143373494
128935,0.0963612,0.117096,0.136151,0.0977506,0.0962914,0.118586,0.12464001673469388,0.08237537608163267,0.13243880180995474,0.08508097692307694,0.14358857234042555,0.113280760106383,0.1611436015873016,0.11402717142857141,0.15512259036144577,0.11270376219512193,0.09828024078947366,0.08112110982456142,0.08620543857142858,0.08672387583011583,0.10336942784,0.11504960012000001,0.11337857024096386,0.11308551325301207,0.07111368961111111,0.09920353127777777,0.09317447567567567,0.11721241767567568,0.11060152655172413,0.11925624950738917,0.10310132587412588,0.13108736783216782,0.11936907108433734,0.13442910481927708,0.104757194017094,0.10140599158119658,0.11642422857142856,0.12129791458874456,0.12133013196078432,0.1254498543137255,0.12511302975903615,0.13050800120481929
130114,0.105441,0.0818319,0.0906328,0.0873003,0.0796472,0.0691393,0.08025514526530614,0.09698347387755102,0.09028152579185521,0.11494372307692306,0.09161327978723405,0.10815118563829788,0.09971595555555557,0.10130365873015873,0.10177486746987954,0.11157759390243899,0.07354525021929825,0.09647567149122808,0.08982647451737451,0.11292679305019307,0.0923514568,0.10678027840000001,0.09928132530120483,0.11130833373493974,0.08366081055555556,0.07147788583333335,0.08089228054054053,0.08254182432432433,0.08127466650246307,0.0875956039408867,0.06747272237762238,0.08797323986013986,0.07332424457831326,0.08476059277108434,0.06476120384615384,0.07308186688034189,0.06629246796536796,0.08450422857142856,0.07047173568627452,0.08569989450980393,0.08038447710843374,0.08019498674698795
130518,0.215231,0.388652,0.195712,0.280123,0.30618,0.282384,0.19186386130612246,0.19123211669387752,0.19512562769230768,0.18540507918552038,0.20049493563829784,0.22837185212765954,0.17152262698412696,0.3008597650793651,0.1989710867469879,0.2662449512195122,0.1808603688596491,0.19375214250000003,0.23484861196911194,0.1865133698841699,0.27859314,0.24686960879999997,0.24828737710843374,0.268977421686747,0.3062558938888889,0.30274816055555553,0.31573871945945947,0.36322662054054056,0.30759207044334974,0.4424115763546798,0.3082102762237762,0.446218486013986,0.3156683951807229,0.45563571445783124,0.2635906064102564,0.31351428034188034,0.2852506227272727,0.39008195584415595,0.2937358125490196,0.43229979137254904,0.29268384096385547,0.45356416867469873
131217,0.0531771,0.0652056,0.0947047,0.081277,0.0645636,0.0600763,0.07818854657142857,0.05251645942857143,0.09964299257918553,0.04353158447963801,0.08664614574468085,0.05451038505319149,0.08187162365079366,0.06637568571428572,0.08654753012048191,0.06205190243902439,0.057424479824561406,0.05382528653508772,0.08132740115830116,0.04469737671814671,0.09508150792,0.06010839356,0.08281355120481929,0.062421692771084336,0.06562177872222222,0.05996887861111111,0.06394869297297298,0.05903467243243243,0.06009641748768474,0.06682419211822661,0.07118674216783215,0.06691743188811189,0.05747975421686746,0.07777808313253012,0.0413597767948718,0.057998233290598285,0.0680446896969697,0.06173831038961039,0.06663721862745099,0.06514572768627451,0.06333545265060242,0.08087476506024095
131722,0.119859,0.145292,0.115901,0.120443,0.0995603,0.134165,0.10717330318367346,0.10039127346938777,0.11461785565610859,0.1264653583710407,0.12666152287234042,0.11149289574468084,0.13217060952380952,0.12925981111111115,0.11814530361445783,0.16409392560975608,0.11800166666666667,0.1001932995614035,0.1174341694980695,0.1266398297297297,0.125195766,0.11539835319999998,0.11626416024096385,0.16482309518072288,0.09929896277777779,0.1518162822222222,0.09364573183783785,0.16887494702702702,0.10636934172413794,0.1407483512315271,0.09988989160839161,0.11953486902097901,0.08346177240963855,0.11570259036144581,0.13025724188034188,0.16266132264957264,0.1307392295238095,0.16324661861471862,0.14629411188235295,0.1270422034117647,0.1389858204819277,0.11565729518072289
132118,0.0633546,0.0961565,0.0883813,0.094301,0.070416,0.0868826,0.09613659689795918,0.05229186595918366,0.08274198981900452,0.053298930090497736,0.08360203255319149,0.07764735478723404,0.08674267968253968,0.07704243984126985,0.08969089,0.07960170487804877,0.07493624263157896,0.05366329543859649,0.10116807181467181,0.051925978687258685,0.0999889972,0.07693601164000001,0.10582569457831326,0.07967714939759035,0.05552301099999999,0.10285805049999999,0.07079713513513514,0.09291917886486485,0.0831667787684729,0.09511654433497536,0.07413870566433567,0.09942925685314685,0.06728518891566265,0.09461365421686746,0.10018346435897435,0.09997377431623933,0.0802629956709957,0.0941782094805195,0.08453070431372549,0.09536951384313727,0.09295167313253012,0.0920196108433735
134627,0.0713683,0.100341,0.0602607,0.0509809,0.0818835,0.0717746,0.04808099889795918,0.057865665959183674,0.06065836081447964,0.07371350316742081,0.06882366984042552,0.08179528563829787,0.06734520476190477,0.07893823126984129,0.08109191927710843,0.07703463170731707,0.04535237552631579,0.05721098578947368,0.06224135374517375,0.07393742779922781,0.04844602512,0.0744277208,0.04412167734939759,0.07789773975903615,0.07946137022222222,0.09526789344444443,0.08508217081081082,0.09873793405405405,0.08399648817733991,0.10089427783251233,0.08923930531468531,0.10218780419580419,0.07394603385542169,0.09902592409638555,0.06079837991452992,0.09587844196581197,0.07502114844155842,0.10176520909090908,0.07903573058823529,0.10466102274509805,0.0765402048192771,0.10662200240963855
134829,0.0911491,0.106206,0.125351,0.115537,0.0844312,0.0916969,0.10416503367346937,0.09031140702040819,0.144921278280543,0.08979142941176473,0.129654075,0.08187165531914894,0.12186583174603176,0.10633047301587303,0.12574074578313252,0.11570720487804878,0.09861986315789474,0.09015243780701755,0.12566849343629344,0.08800342393822394,0.11880797948,0.0895599608,0.13257472771084336,0.1135806987951807,0.08009764722222222,0.0844084898888889,0.08346049562162161,0.10603642,0.07233973935960591,0.11967123477832513,0.08529146573426574,0.10417162027972028,0.09026766024096386,0.11915846506024097,0.0754951908119658,0.09061837598290598,0.08117840935064934,0.11239390199134201,0.09807168509803921,0.11083810509803922,0.11093677590361446,0.12045016024096386
135124,0.0459033,0.0783161,0.0447541,0.0229557,0.0358086,0.0475099,0.03769471302040816,0.04110253224489796,0.04114355837104072,0.04190858049773755,0.05088506792553191,0.04752087909574468,0.0564767746031746,0.06345367777777779,0.05250554096385542,0.05114994109756098,0.024881824605263156,0.041615734385964914,0.018352934131274132,0.04245625478764478,0.022110787719999997,0.05248760016,0.03211161072289157,0.050296434578313245,0.04097709144444445,0.06874715033333333,0.035883716648648645,0.08693502432432433,0.029708097980295566,0.08276943472906405,0.03423964279720279,0.08096271062937063,0.03921474626506024,0.0674934421686747,0.05229869957264957,0.0719487323076923,0.046003198138528135,0.08775470051948052,0.04669924490196079,0.08108627549019608,0.04928237469879517,0.06690738313253013
137128,0.0929748,0.161323,0.117706,0.0829179,0.122139,0.152924,0.12083813130612245,0.08594022857142858,0.10941076285067873,0.10210876877828054,0.11716424643617021,0.09970143670212767,0.12434569523809526,0.09022749666666664,0.1393957638554217,0.08779251146341464,0.07655752846491228,0.08436174649122806,0.08925986216216215,0.09931793552123551,0.08833583455999999,0.09631149235999999,0.06870227831325301,0.08974501975903615,0.12984668166666666,0.15718167766666666,0.12444076951351352,0.16379294216216214,0.12058035334975367,0.1602756545812808,0.10961364545454544,0.15918960139860142,0.12393269277108436,0.17045608674698792,0.15409723628205127,0.15282571572649573,0.15708767965367967,0.16507714112554112,0.15198294784313726,0.16393047952941175,0.15657593204819278,0.16905746987951806
140117,0.0364623,0.0453461,0.047315,0.0427273,0.0299013,0.0406316,0.03895358567346938,0.03146297681632653,0.03918071959276018,0.03603742452488688,0.05557342978723404,0.03770151515957447,0.0576703746031746,0.04337253650793651,0.06453279156626505,0.04135837170731707,0.029147433421052634,0.031372237368421055,0.0411278749034749,0.03573448656370657,0.05869224128,0.03905565540000001,0.032892462048192773,0.04177715518072289,0.020680157277777778,0.035023965777777784,0.021942076486486484,0.04209252632432432,0.04090338655172413,0.049905546798029554,0.038444068531468534,0.052720063216783214,0.022272252891566268,0.054881544337349396,0.03475194235042735,0.035453546623931624,0.04117925432900432,0.044006813290043294,0.040121456588235294,0.05326539662745098,0.047269076385542175,0.05524998397590362
144226,0.164311,0.129594,0.126039,0.111301,0.107533,0.120413,0.12514162424489794,0.16475004,0.11630789900452489,0.16338551904977375,0.11367823170212765,0.17765773670212764,0.12315672063492064,0.1374435907936508,0.12052564337349396,0.14883553048780487,0.10681464570175436,0.1649275697368421,0.10632048942084944,0.16664583054054052,0.11252548343999999,0.16457036928,0.1050194168674699,0.1532288518072289,0.10495707849999998,0.1089478811111111,0.10213976324324325,0.13199445356756756,0.11564036650246305,0.13298835024630543,0.10206952937062937,0.1326408916083916,0.09949976867469883,0.15305879638554218,0.10247733247863249,0.11212162863247863,0.11468579744588746,0.1338804480952381,0.11821424078431374,0.13391911568627451,0.11716896144578313,0.15410282168674697
145834,0.189431,0.251341,0.119112,0.0924054,0.134003,0.153486,0.10412135334693877,0.15405714073469387,0.12916468416289592,0.2065574995475113,0.13806425265957448,0.19591278936170214,0.12129010158730157,0.20861809841269843,0.11894148674698792,0.21785091097560977,0.08097424342105264,0.14932576614035087,0.10421924401544402,0.21296984208494207,0.0917998912,0.1972248372,0.10112560722891566,0.22217605301204824,0.12746305222222223,0.11283343705555554,0.1255289545945946,0.24881830108108108,0.14122353399014778,0.3307661748768473,0.13528351118881118,0.294807520979021,0.15027350361445782,0.31674790120481927,0.1378928871794872,0.1317865567094017,0.15432443506493507,0.28677009264069264,0.16184096196078432,0.30723890352941174,0.1582933,0.31646292891566263
