Subject,MOVIE1_AcquisitionTime,MOVIE2_AcquisitionTime,MOVIE3_AcquisitionTime,MOVIE4_AcquisitionTime,REST1_AcquisitionTime,REST4_AcquisitionTime,MOVIE1_TimeFromLocalizer,MOVIE2_TimeFromLocalizer,MOVIE3_TimeFromLocalizer,MOVIE4_TimeFromLocalizer,REST1_TimeFromLocalizer,REST4_TimeFromLocalizer
627549,57414.0,58777.0,61383.0,62646.0,55747.0,60034.0,2212.0,3575.0,1586.0,2849.0,545.0,237.0
638049,68548.0,69994.0,37299.0,38511.0,67200.0,36077.0,1899.0,3345.0,1486.0,2698.0,551.0,264.0
644246,74059.0,75331.0,33345.0,34572.0,72757.0,32029.0,1933.0,3205.0,1613.0,2840.0,631.0,297.0
654552,55647.0,56875.0,41035.0,42240.0,54332.0,39798.0,1869.0,3097.0,1489.0,2694.0,554.0,252.0
671855,45919.0,47175.0,40548.0,41819.0,44597.0,39264.0,1890.0,3146.0,1564.0,2835.0,568.0,280.0
680957,73016.0,74273.0,30121.0,31423.0,71636.0,28838.0,2086.0,3343.0,1632.0,2934.0,706.0,349.0
690152,58779.0,60044.0,63434.0,64654.0,57439.0,61886.0,1840.0,3105.0,1798.0,3018.0,500.0,250.0
706040,73619.0,74858.0,66056.0,67333.0,72310.0,64712.0,1922.0,3161.0,1937.0,3214.0,613.0,593.0
724446,35859.0,37100.0,42961.0,44201.0,34521.0,41694.0,1901.0,3142.0,1531.0,2771.0,563.0,264.0
725751,69071.0,70388.0,30304.0,31560.0,67638.0,29019.0,2191.0,3508.0,1712.0,2968.0,758.0,427.0
732243,73805.0,75050.0,31783.0,33004.0,72439.0,30488.0,1837.0,3082.0,1536.0,2757.0,471.0,241.0
745555,68849.0,70201.0,35184.0,36429.0,67353.0,33905.0,2065.0,3417.0,1542.0,2787.0,569.0,263.0
751550,75138.0,76381.0,34804.0,36055.0,73859.0,33585.0,1826.0,3069.0,1496.0,2747.0,547.0,277.0
757764,31599.0,32880.0,39805.0,41017.0,30294.0,38530.0,1887.0,3168.0,1541.0,2753.0,582.0,266.0
765864,61974.0,63283.0,60397.0,61621.0,60441.0,59177.0,2105.0,3414.0,1479.0,2703.0,572.0,259.0
770352,35674.0,36935.0,39906.0,41136.0,34345.0,38655.0,1836.0,3097.0,1463.0,2693.0,507.0,212.0
771354,59352.0,60603.0,42257.0,43522.0,58076.0,41004.0,1897.0,3148.0,1533.0,2798.0,621.0,280.0
782561,30710.0,31957.0,37280.0,38524.0,29402.0,35988.0,1901.0,3148.0,1587.0,2831.0,593.0,295.0
783462,53246.0,54557.0,46331.0,47545.0,51864.0,45057.0,2104.0,3415.0,1547.0,2761.0,722.0,273.0
789373,30067.0,31396.0,41155.0,42406.0,28789.0,39882.0,1938.0,3267.0,1479.0,2730.0,660.0,206.0
814649,74966.0,76243.0,35077.0,37348.0,73561.0,33798.0,1961.0,3238.0,1571.0,3842.0,556.0,292.0
818859,73370.0,74632.0,55811.0,57047.0,72092.0,54585.0,1846.0,3108.0,1499.0,2735.0,568.0,273.0
825048,72486.0,73706.0,52732.0,53959.0,71174.0,51487.0,1802.0,3022.0,1460.0,2687.0,490.0,215.0
826353,38138.0,39401.0,39423.0,40952.0,36865.0,38139.0,1800.0,3063.0,1557.0,3086.0,527.0,273.0
833249,37303.0,38615.0,45682.0,47267.0,35968.0,44380.0,1873.0,3185.0,1601.0,3186.0,538.0,299.0
859671,71819.0,73058.0,51077.0,52370.0,70527.0,49716.0,1806.0,3045.0,1617.0,2910.0,514.0,256.0
861456,68858.0,70145.0,30380.0,31791.0,67508.0,29039.0,2082.0,3369.0,1606.0,3017.0,732.0,265.0
871762,35540.0,36780.0,45610.0,46859.0,34212.0,44386.0,1882.0,3122.0,1559.0,2808.0,554.0,335.0
872764,35859.0,37310.0,44399.0,45643.0,34363.0,43127.0,2262.0,3713.0,1610.0,2854.0,766.0,338.0
878776,67060.0,68298.0,53217.0,54456.0,65760.0,51950.0,1964.0,3202.0,1572.0,2811.0,664.0,305.0
878877,67973.0,69231.0,36171.0,37406.0,66631.0,34870.0,1922.0,3180.0,1610.0,2845.0,580.0,309.0
898176,74023.0,75423.0,35650.0,36867.0,72642.0,33965.0,1878.0,3278.0,1920.0,3137.0,497.0,235.0
899885,68675.0,69942.0,48420.0,49645.0,67248.0,47134.0,2014.0,3281.0,1510.0,2735.0,587.0,224.0
901139,31622.0,32988.0,39270.0,40505.0,30061.0,37988.0,2260.0,3626.0,1572.0,2807.0,699.0,290.0
901442,36964.0,38210.0,44408.0,45616.0,35641.0,42888.0,1860.0,3106.0,1769.0,2977.0,537.0,249.0
905147,36523.0,37787.0,43972.0,45222.0,35243.0,42717.0,1873.0,3137.0,1521.0,2771.0,593.0,266.0
910241,53505.0,54731.0,58846.0,60060.0,52112.0,57468.0,2117.0,3343.0,1620.0,2834.0,724.0,242.0
926862,70575.0,72046.0,48745.0,50013.0,68364.0,47460.0,2869.0,4340.0,1566.0,2834.0,658.0,281.0
927359,72455.0,73724.0,58376.0,59610.0,74914.0,57136.0,1946.0,3215.0,1554.0,2788.0,4405.0,314.0
942658,35319.0,36572.0,50198.0,51452.0,34067.0,48869.0,1810.0,3063.0,1586.0,2840.0,558.0,257.0
943862,69010.0,70286.0,52744.0,53981.0,67487.0,51462.0,2137.0,3413.0,1589.0,2826.0,614.0,307.0
958976,74793.0,76027.0,29830.0,31076.0,73532.0,28566.0,1828.0,3062.0,1554.0,2800.0,567.0,290.0
966975,73171.0,74425.0,30682.0,31946.0,71826.0,29391.0,1894.0,3148.0,1568.0,2832.0,549.0,277.0
971160,73893.0,75173.0,29055.0,30331.0,72598.0,27768.0,1996.0,3276.0,1555.0,2831.0,701.0,268.0
995174,33563.0,34791.0,53068.0,54295.0,32255.0,51848.0,1854.0,3082.0,1494.0,2721.0,546.0,274.0
