Session Day,Acquisition Time,Scan Number,Scan Type,Scan Description,Usability,Session,CountScan,Release,CDB_scan,CDB_Type,View,Shim Group,BiasField group,SE_FieldMap group,GE_FieldMap group,CDB_Description,PE Direction,Readout Direction,E-Prime Script,Scan Order,Scan Complete,Percent Complete,Percent Pair Complete
Day 1,11:15:01,21,FieldMap,FieldMap_Phase,,1,Y,N,117,,,,1,,,,,,,,,,
,2015-11-21,186949_ret_7T,,,,,,,,,,,,,,,,,,,,,
Day 1,12:46:19,1,Localizer,Localizer,,2,N,,,,,,,,,,,,,,,,
Day 1,12:46:26,2,AAHScout,AAHScout_32ch,,2,N,,,,,,,,,,,,,,,,
Day 1,12:46:26,3,AAHScout,AAHScout_32ch_MPR,,2,N,,,,,,,,,,,,,,,,
Day 1,12:46:45,4,Localizer_aligned,Localizer_aligned,,2,N,,,,,,,,,,,,,,,,
Day 1,12:50:40,5,rfMRI_SBRef,BOLD_REST2_AP_SBRef,,2,Y,Y,201,rfMRI_SBRef,N,C,2,3,,rfMRI_REST2_AP_SBRef,'-y,,,,,,
Day 1,12:50:49,6,rfMRI,BOLD_REST2_AP,,2,Y,Y,202,rfMRI,Y,C,2,3,,rfMRI_REST2_AP,'-y,,,1,Y,100.0,
Day 1,13:07:02,7,FieldMap_SE_EPI_SBRef,BOLD_PA_SE_SBRef,,2,Y,Y,203,FieldMap_SE_EPI_SBRef,N,C,2,3,,SpinEchoFieldMap_PA_SBRef,,,,,,,
Day 1,13:07:23,8,FieldMap_SE_EPI,BOLD_PA_SE,,2,Y,Y,204,FieldMap_SE_EPI,N,C,2,3,,SpinEchoFieldMap_PA,'+y,,,,,,
Day 1,13:08:33,9,FieldMap_SE_EPI_SBRef,BOLD_AP_SE_SBRef,,2,Y,Y,205,FieldMap_SE_EPI_SBRef,N,C,2,3,,SpinEchoFieldMap_AP_SBRef,,,,,,,
Day 1,13:08:54,10,FieldMap_SE_EPI,BOLD_AP_SE,,2,Y,Y,206,FieldMap_SE_EPI,N,C,2,3,,SpinEchoFieldMap_AP,'-y,,,,,,
Day 1,13:11:12,11,tfMRI_SBRef,BOLD_RET1_AP_SBRef,,2,Y,Y,207,tfMRI_SBRef,N,C,2,4,,tfMRI_RETCCW_AP_SBRef,'-y,,,,,,
Day 1,13:11:21,12,tfMRI,BOLD_RET1_AP,,2,Y,Y,208,tfMRI,Y,C,2,4,,tfMRI_RETCCW_AP,'-y,,,1,Y,100.0,
Day 1,13:18:16,13,tfMRI_SBRef,BOLD_RET2_PA_SBRef,,2,Y,Y,209,tfMRI_SBRef,N,C,2,4,,tfMRI_RETCW_PA_SBRef,'+y,,,,,,
Day 1,13:18:25,14,tfMRI,BOLD_RET2_PA,,2,Y,Y,210,tfMRI,Y,C,2,4,,tfMRI_RETCW_PA,'+y,,,1,Y,100.0,
Day 1,13:25:13,15,tfMRI_SBRef,BOLD_RET3_AP_SBRef,,2,Y,Y,211,tfMRI_SBRef,N,C,2,4,,tfMRI_RETEXP_AP_SBRef,'-y,,,,,,
Day 1,13:25:22,16,tfMRI,BOLD_RET3_AP,,2,Y,Y,212,tfMRI,Y,C,2,4,,tfMRI_RETEXP_AP,'-y,,,1,Y,100.0,
Day 1,13:32:13,17,tfMRI_SBRef,BOLD_RET4_PA_SBRef,,2,Y,Y,213,tfMRI_SBRef,N,C,2,4,,tfMRI_RETCON_PA_SBRef,'+y,,,,,,
Day 1,13:32:22,18,tfMRI,BOLD_RET4_PA,,2,Y,Y,214,tfMRI,Y,C,2,4,,tfMRI_RETCON_PA,'+y,,,1,Y,100.0,
Day 1,13:38:43,19,FieldMap_SE_EPI_SBRef,BOLD_PA_SE_SBRef,,2,Y,Y,215,FieldMap_SE_EPI_SBRef,N,C,2,4,,SpinEchoFieldMap_PA_SBRef,,,,,,,
Day 1,13:39:04,20,FieldMap_SE_EPI,BOLD_PA_SE,,2,Y,Y,216,FieldMap_SE_EPI,N,C,2,4,,SpinEchoFieldMap_PA,'+y,,,,,,
Day 1,13:40:14,21,FieldMap_SE_EPI_SBRef,BOLD_AP_SE_SBRef,,2,Y,Y,217,FieldMap_SE_EPI_SBRef,N,C,2,4,,SpinEchoFieldMap_AP_SBRef,,,,,,,
Day 1,13:40:35,22,FieldMap_SE_EPI,BOLD_AP_SE,,2,Y,Y,218,FieldMap_SE_EPI,N,C,2,4,,SpinEchoFieldMap_AP,'-y,,,,,,
Day 1,13:42:30,23,tfMRI_SBRef,BOLD_RET5_AP_SBRef,,2,Y,Y,219,tfMRI_SBRef,N,C,2,4,,tfMRI_RETBAR1_AP_SBRef,'-y,,,,,,
Day 1,13:42:39,24,tfMRI,BOLD_RET5_AP,,2,Y,Y,220,tfMRI,Y,C,2,4,,tfMRI_RETBAR1_AP,'-y,,,1,Y,100.0,
Day 1,13:49:35,25,tfMRI_SBRef,BOLD_RET6_PA_SBRef,,2,Y,Y,221,tfMRI_SBRef,N,C,2,4,,tfMRI_RETBAR2_PA_SBRef,'+y,,,,,,
Day 1,13:49:44,26,tfMRI,BOLD_RET6_PA,,2,Y,Y,222,tfMRI,Y,C,2,4,,tfMRI_RETBAR2_PA,'+y,,,1,Y,100.0,
Day 1,13:54:51,27,FieldMap,FieldMap_Magnitude,,2,Y,N,223,,,,2,,,,,,,,,,
Day 1,13:54:51,28,FieldMap,FieldMap_Phase,,2,Y,N,224,,,,2,,,,,,,,,,
,2015-11-22,186949_diff_7T,,,,,,,,,,,,,,,,,,,,,
Day 2,07:47:23,1,Localizer,Localizer,,3,N,,,,,,,,,,,,,,,,
Day 2,07:47:31,2,AAHScout,AAHScout_32ch,,3,N,,,,,,,,,,,,,,,,
Day 2,07:47:31,3,AAHScout,AAHScout_32ch_MPR,,3,N,,,,,,,,,,,,,,,,
Day 2,07:47:50,4,Localizer_aligned,Localizer_aligned,,3,N,,,,,,,,,,,,,,,,
Day 2,07:55:36,5,rfMRI_SBRef,BOLD_REST3_PA_SBRef,,3,Y,Y,301,rfMRI_SBRef,N,D,3,5,,rfMRI_REST3_PA_SBRef,'+y,,,,,,
Day 2,07:55:45,6,rfMRI,BOLD_REST3_PA,,3,Y,Y,302,rfMRI,Y,D,3,5,,rfMRI_REST3_PA,'+y,,,1,Y,100.0,
Day 2,08:14:32,7,FieldMap_SE_EPI_SBRef,BOLD_PA_SE_SBRef,,3,Y,Y,303,FieldMap_SE_EPI_SBRef,N,D,3,5,,SpinEchoFieldMap_PA_SBRef,,,,,,,
Day 2,08:14:53,8,FieldMap_SE_EPI,BOLD_PA_SE,,3,Y,Y,304,FieldMap_SE_EPI,N,D,3,5,,SpinEchoFieldMap_PA,'+y,,,,,,
Day 2,08:16:02,9,FieldMap_SE_EPI_SBRef,BOLD_AP_SE_SBRef,,3,Y,Y,305,FieldMap_SE_EPI_SBRef,N,D,3,5,,SpinEchoFieldMap_AP_SBRef,,,,,,,
Day 2,08:16:23,10,FieldMap_SE_EPI,BOLD_AP_SE,,3,Y,Y,306,FieldMap_SE_EPI,N,D,3,5,,SpinEchoFieldMap_AP,'-y,,,,,,
,2015-11-22,186949_diff_7Tb,,,,,,,,,,,,,,,,,,,,,
Day 2,10:42:25,1,Localizer,Localizer,,4,N,,,,,,,,,,,,,,,,
Day 2,10:42:33,2,AAHScout,AAHScout_32ch,,4,N,,,,,,,,,,,,,,,,
Day 2,10:42:33,3,AAHScout,AAHScout_32ch_MPR,,4,N,,,,,,,,,,,,,,,,
Day 2,10:43:06,4,Localizer_aligned,Localizer_aligned,,4,N,,,,,,,,,,,,,,,,
Day 2,10:46:08,5,dMRI_SBRef,DWI_AP_dir71_SBRef,,4,Y,Y,401,dMRI_SBRef,N,E,4,,,DWI_dir71_AP_SBRef,'-y,,,,,,
Day 2,10:46:29,6,dMRI,DWI_AP_dir71,,4,Y,Y,402,dMRI,Y,E,4,,,DWI_dir71_AP,'-y,,,1,Y,100.0,100.0
Day 2,10:56:49,7,dMRI_SBRef,DWI_PA_dir71_SBRef,,4,Y,Y,403,dMRI_SBRef,N,E,4,,,DWI_dir71_PA_SBRef,'+y,,,,,,
Day 2,10:57:10,8,dMRI,DWI_PA_dir71,,4,Y,Y,404,dMRI,Y,E,4,,,DWI_dir71_PA,'+y,,,2,Y,100.0,100.0
Day 2,11:07:01,9,dMRI_SBRef,DWI_AP_dir72_SBRef,,4,Y,Y,405,dMRI_SBRef,N,E,4,,,DWI_dir72_AP_SBRef,'-y,,,,,,
Day 2,11:07:22,10,dMRI,DWI_AP_dir72,,4,Y,Y,406,dMRI,Y,E,4,,,DWI_dir72_AP,'-y,,,3,Y,100.0,100.0
Day 2,11:17:37,11,dMRI_SBRef,DWI_PA_dir72_SBRef,,4,Y,Y,407,dMRI_SBRef,N,E,4,,,DWI_dir72_PA_SBRef,'+y,,,,,,
Day 2,11:17:58,12,dMRI,DWI_PA_dir72,,4,Y,Y,408,dMRI,Y,E,4,,,DWI_dir72_PA,'+y,,,4,Y,100.0,100.0
Day 2,11:27:11,13,DWI_AP_SSref_SBRef,DWI_AP_SSref_SBRef,,4,Y,N,409,,,,4,,,,,,,,,,
Day 2,11:27:39,14,DWI_AP_SSref,DWI_AP_SSref,,4,Y,N,410,,,,4,,,,,,,,,,
Day 2,11:28:32,15,DWI_PA_SSref_SBRef,DWI_PA_SSref_SBRef,,4,Y,N,411,,,,4,,,,,,,,,,
Day 2,11:29:00,16,DWI_PA_SSref,DWI_PA_SSref,,4,Y,N,412,,,,4,,,,,,,,,,
Day 2,11:30:22,17,DWI_AP_SEGref_SBRef,DWI_AP_SEGref_SBRef,,4,Y,N,413,,,,4,,,,,,,,,,
Day 2,11:30:50,18,DWI_AP_SEGref,DWI_AP_SEGref,,4,Y,N,414,,,,4,,,,,,,,,,
Day 2,11:32:11,19,DWI_PA_SEGref_SBRef,DWI_PA_SEGref_SBRef,,4,Y,N,415,,,,4,,,,,,,,,,
Day 2,11:32:39,20,DWI_PA_SEGref,DWI_PA_SEGref,,4,Y,N,416,,,,4,,,,,,,,,,
Day 2,11:32:49,21,FieldMap_dMRI,FieldMap_diffusion,,4,Y,N,417,,,,4,,,,,,,,,,
Day 2,11:32:50,22,FieldMap_dMRI,FieldMap_diffusion,,4,Y,N,418,,,,4,,,,,,,,,,
Day 2,11:34:04,23,FieldMap_dMRI,FieldMap_diffusion,,4,Y,N,419,,,,4,,,,,,,,,,
Day 2,11:34:05,24,FieldMap_dMRI,FieldMap_diffusion,,4,Y,N,420,,,,4,,,,,,,,,,
,2015-11-22,186949_mov2_7T,,,,,,,,,,,,,,,,,,,,,
Day 2,13:09:02,1,Localizer,Localizer,,5,N,,,,,,,,,,,,,,,,
Day 2,13:09:08,2,AAHScout,AAHScout_32ch,,5,N,,,,,,,,,,,,,,,,
Day 2,13:09:08,3,AAHScout,AAHScout_32ch_MPR,,5,N,,,,,,,,,,,,,,,,
Day 2,13:09:25,4,Localizer_aligned,Localizer_aligned,,5,N,,,,,,,,,,,,,,,,
Day 2,13:13:11,5,rfMRI_SBRef,BOLD_REST4_AP_SBRef,,5,Y,Y,501,rfMRI_SBRef,N,F,5,6,,rfMRI_REST4_AP_SBRef,'-y,,,,,,
Day 2,13:13:21,6,rfMRI,BOLD_REST4_AP,,5,Y,Y,502,rfMRI,Y,F,5,6,,rfMRI_REST4_AP,'-y,,,1,Y,100.0,
Day 2,13:29:55,7,FieldMap_SE_EPI_SBRef,BOLD_PA_SE_SBRef,,5,Y,Y,503,FieldMap_SE_EPI_SBRef,N,F,5,6,,SpinEchoFieldMap_PA_SBRef,,,,,,,
Day 2,13:30:16,8,FieldMap_SE_EPI,BOLD_PA_SE,,5,Y,Y,504,FieldMap_SE_EPI,N,F,5,6,,SpinEchoFieldMap_PA,'+y,,,,,,
Day 2,13:31:44,9,FieldMap_SE_EPI_SBRef,BOLD_AP_SE_SBRef,,5,Y,Y,505,FieldMap_SE_EPI_SBRef,N,F,5,6,,SpinEchoFieldMap_AP_SBRef,,,,,,,
Day 2,13:32:05,10,FieldMap_SE_EPI,BOLD_AP_SE,,5,Y,Y,506,FieldMap_SE_EPI,N,F,5,6,,SpinEchoFieldMap_AP,'-y,,,,,,
Day 2,13:33:56,11,tfMRI_SBRef,BOLD_MOVIE3_PA_SBRef,,5,Y,Y,507,tfMRI_SBRef,N,F,5,7,,tfMRI_MOVIE3_PA_SBRef,'+y,,,,,,
Day 2,13:34:05,12,tfMRI,BOLD_MOVIE3_PA,,5,Y,Y,508,tfMRI,Y,F,5,7,,tfMRI_MOVIE3_PA,'+y,,,1,Y,100.0,
Day 2,13:50:38,13,FieldMap_SE_EPI_SBRef,BOLD_PA_SE_SBRef,,5,Y,Y,509,FieldMap_SE_EPI_SBRef,N,F,5,7,,SpinEchoFieldMap_PA_SBRef,,,,,,,
Day 2,13:50:59,14,FieldMap_SE_EPI,BOLD_PA_SE,,5,Y,Y,510,FieldMap_SE_EPI,N,F,5,7,,SpinEchoFieldMap_PA,'+y,,,,,,
Day 2,13:52:09,15,FieldMap_SE_EPI_SBRef,BOLD_AP_SE_SBRef,,5,Y,Y,511,FieldMap_SE_EPI_SBRef,N,F,5,7,,SpinEchoFieldMap_AP_SBRef,,,,,,,
Day 2,13:52:30,16,FieldMap_SE_EPI,BOLD_AP_SE,,5,Y,Y,512,FieldMap_SE_EPI,N,F,5,7,,SpinEchoFieldMap_AP,'-y,,,,,,
Day 2,13:54:37,17,tfMRI_SBRef,BOLD_MOVIE4_AP_SBRef,,5,Y,Y,513,tfMRI_SBRef,N,F,5,7,,tfMRI_MOVIE4_AP_SBRef,'-y,,,,,,
Day 2,13:54:47,18,tfMRI,BOLD_MOVIE4_AP,,5,Y,Y,514,tfMRI,Y,F,5,7,,tfMRI_MOVIE4_AP,'-y,,,1,Y,100.0,
Day 2,14:09:55,19,FieldMap,FieldMap_Magnitude,,5,Y,N,515,,,,5,,,,,,,,,,
Day 2,14:09:55,20,FieldMap,FieldMap_Phase,,5,Y,N,516,,,,5,,,,,,,,,,
