order,duration,onset,object_id,face_locations
,0.5,334.5,0,"(192, 464, 415, 241)"
,0.5,335.0,0,"(192, 464, 415, 241)"
,0.5,335.5,0,"(171, 468, 439, 200)"
,0.5,336.0,0,"(217, 464, 440, 241)"
,0.5,336.5,0,"(217, 464, 440, 241)"
,0.5,337.0,0,"(483, 884, 612, 755)"
,0.5,342.0,0,"(266, 414, 489, 191)"
,0.5,342.5,0,"(291, 390, 514, 167)"
,0.5,343.0,0,"(242, 414, 464, 191)"
,0.5,343.5,0,"(242, 414, 464, 191)"
,0.5,344.0,0,"(266, 390, 489, 167)"
,0.5,344.0,1,"(540, 841, 669, 712)"
,0.5,344.5,0,"(389, 786, 441, 734)"
,0.5,346.0,0,"(112, 854, 379, 587)"
,0.5,346.5,0,"(142, 761, 365, 538)"
,0.5,347.0,0,"(112, 765, 379, 498)"
,0.5,347.5,0,"(142, 736, 365, 513)"
,0.5,348.0,0,"(192, 712, 415, 489)"
,0.5,348.5,0,"(217, 662, 440, 439)"
,0.5,349.0,0,"(217, 613, 440, 390)"
,0.5,349.5,0,"(192, 637, 415, 414)"
,0.5,350.0,0,"(167, 637, 390, 414)"
,0.5,350.5,0,"(242, 637, 464, 414)"
,0.5,351.0,0,"(217, 687, 440, 464)"
,0.5,351.5,0,"(192, 637, 415, 414)"
,0.5,352.0,0,"(167, 637, 390, 414)"
,0.5,352.5,0,"(192, 662, 415, 439)"
,0.5,353.0,0,"(192, 687, 415, 464)"
,0.5,353.5,0,"(217, 712, 440, 489)"
,0.5,354.0,0,"(217, 687, 440, 464)"
,0.5,354.5,0,"(192, 712, 415, 489)"
,0.5,355.0,0,"(167, 712, 390, 489)"
,0.5,355.5,0,"(192, 712, 415, 489)"
,0.5,356.0,0,"(192, 712, 415, 489)"
,0.5,356.5,0,"(192, 736, 415, 513)"
,0.5,357.0,0,"(167, 786, 390, 563)"
,0.5,357.5,0,"(142, 795, 409, 527)"
,0.5,358.0,0,"(192, 761, 415, 538)"
,0.5,358.5,0,"(242, 786, 464, 563)"
,0.5,358.5,1,"(130, 429, 166, 393)"
,0.5,359.0,0,"(201, 795, 468, 527)"
,0.5,359.5,0,"(171, 795, 439, 527)"
,0.5,360.0,0,"(192, 761, 415, 538)"
,0.5,360.5,0,"(167, 761, 390, 538)"
,0.5,361.0,0,"(167, 736, 390, 513)"
,0.5,361.5,0,"(192, 761, 415, 538)"
,0.5,362.0,0,"(242, 365, 464, 142)"
,0.5,362.5,0,"(266, 390, 489, 167)"
,0.5,368.5,0,"(167, 489, 390, 266)"
,0.5,374.0,0,"(201, 676, 468, 409)"
,0.5,374.5,0,"(171, 676, 439, 409)"
,0.5,375.0,0,"(171, 735, 439, 468)"
,0.5,375.5,0,"(142, 735, 409, 468)"
,0.5,376.0,0,"(171, 765, 439, 498)"
,0.5,376.5,0,"(201, 795, 468, 527)"
,0.5,377.0,0,"(201, 438, 468, 171)"
,0.5,377.5,0,"(201, 438, 468, 171)"
,0.5,378.0,0,"(201, 409, 468, 141)"
,0.5,378.5,0,"(242, 390, 464, 167)"
,0.5,379.0,0,"(201, 409, 468, 141)"
,0.5,379.5,0,"(201, 409, 468, 141)"
,0.5,380.0,0,"(201, 409, 468, 141)"
,0.5,380.5,0,"(201, 409, 468, 141)"
,0.5,381.0,0,"(201, 409, 468, 141)"
,0.5,381.5,0,"(201, 379, 468, 111)"
,0.5,382.0,0,"(201, 379, 468, 111)"
,0.5,382.5,0,"(231, 379, 498, 111)"
,0.5,383.0,0,"(171, 825, 439, 557)"
,0.5,383.5,0,"(171, 854, 439, 587)"
,0.5,384.0,0,"(171, 854, 439, 587)"
,0.5,384.5,0,"(142, 825, 409, 557)"
,0.5,385.0,0,"(171, 825, 439, 557)"
,0.5,385.5,0,"(171, 795, 439, 527)"
,0.5,386.0,0,"(171, 795, 439, 527)"
,0.5,398.0,0,"(426, 927, 555, 798)"
,0.5,398.5,0,"(414, 784, 522, 677)"
,0.5,403.0,0,"(127, 578, 170, 535)"
,0.5,403.5,0,"(118, 626, 161, 583)"
,0.5,405.0,0,"(87, 646, 149, 584)"
,0.5,405.5,0,"(101, 579, 153, 527)"
,0.5,406.5,0,"(101, 573, 153, 521)"
,0.5,407.0,0,"(101, 612, 163, 550)"
,0.5,407.5,0,"(94, 640, 156, 577)"
,0.5,408.5,0,"(96, 726, 171, 652)"
,0.5,410.0,0,"(136, 703, 226, 613)"
,0.5,411.0,0,"(146, 683, 236, 593)"
,0.5,413.5,0,"(121, 511, 196, 436)"
,0.5,414.0,0,"(136, 494, 226, 404)"
,0.5,414.5,0,"(155, 519, 229, 444)"
,0.5,426.5,0,"(153, 256, 205, 204)"
,0.5,427.5,0,"(185, 199, 228, 156)"
,0.5,428.5,0,"(182, 371, 234, 319)"
,0.5,429.0,0,"(199, 314, 242, 271)"
,0.5,430.0,0,"(209, 189, 252, 146)"
,0.5,430.5,0,"(204, 184, 247, 141)"
,0.5,434.0,0,"(430, 218, 473, 175)"
,0.5,435.5,0,"(115, 266, 177, 204)"
,0.5,439.0,0,"(156, 218, 218, 156)"
,0.5,439.5,0,"(163, 345, 237, 270)"
,0.5,440.0,0,"(146, 474, 236, 384)"
,0.5,443.5,0,"(196, 673, 285, 583)"
,0.5,444.0,0,"(156, 763, 245, 673)"
,0.5,444.5,0,"(140, 736, 247, 629)"
,0.5,445.5,0,"(213, 834, 287, 760)"
,0.5,450.0,0,"(116, 734, 270, 580)"
,0.5,450.5,0,"(163, 724, 271, 617)"
,0.5,451.0,0,"(175, 712, 283, 605)"
,0.5,451.5,0,"(175, 736, 283, 629)"
,0.5,452.0,0,"(153, 755, 282, 626)"
,0.5,452.5,0,"(153, 769, 282, 640)"
,0.5,453.0,0,"(153, 769, 282, 640)"
,0.5,453.5,0,"(133, 786, 288, 631)"
,0.5,454.5,0,"(201, 510, 387, 324)"
,0.5,455.0,0,"(242, 489, 428, 304)"
,0.5,456.0,0,"(310, 290, 353, 247)"
,0.5,456.5,0,"(247, 462, 355, 354)"
,0.5,458.0,0,"(201, 407, 387, 221)"
,0.5,458.5,0,"(202, 356, 356, 201)"
,0.5,459.0,0,"(202, 304, 356, 150)"
,0.5,459.5,0,"(253, 253, 408, 98)"
,0.5,460.5,0,"(270, 218, 425, 64)"
,0.5,465.5,0,"(242, 366, 428, 180)"
,0.5,466.0,0,"(242, 366, 428, 180)"
,0.5,466.5,0,"(236, 390, 391, 236)"
,0.5,467.0,0,"(202, 459, 356, 304)"
,0.5,467.5,0,"(184, 511, 339, 356)"
,0.5,468.0,0,"(182, 425, 311, 296)"
,0.5,468.5,0,"(199, 390, 307, 282)"
,0.5,469.0,0,"(223, 366, 331, 259)"
,0.5,469.5,0,"(182, 397, 311, 268)"
,0.5,470.0,0,"(187, 354, 295, 247)"
,0.5,471.5,0,"(187, 366, 295, 259)"
,0.5,472.0,0,"(199, 366, 307, 259)"
,0.5,472.5,0,"(182, 368, 311, 239)"
,0.5,473.0,0,"(175, 330, 283, 223)"
,0.5,473.5,0,"(187, 223, 295, 115)"
,0.5,474.0,0,"(196, 296, 325, 167)"
,0.5,474.5,0,"(205, 331, 257, 279)"
,0.5,475.0,0,"(205, 331, 257, 279)"
,0.5,475.5,0,"(205, 325, 257, 273)"
,0.5,476.0,0,"(205, 302, 257, 250)"
,0.5,478.0,0,"(214, 463, 257, 419)"
,0.5,478.5,0,"(209, 578, 252, 535)"
,0.5,481.5,0,"(171, 577, 246, 502)"
,0.5,483.0,0,"(152, 402, 259, 294)"
,0.5,483.5,0,"(139, 440, 268, 311)"
,0.5,484.5,0,"(118, 221, 304, 35)"
,0.5,485.0,0,"(118, 304, 304, 118)"
,0.5,485.5,0,"(133, 648, 288, 494)"
,0.5,486.5,0,"(153, 683, 282, 554)"
,0.5,487.0,0,"(133, 734, 288, 580)"
,0.5,487.5,0,"(116, 786, 270, 631)"
,0.5,488.0,0,"(134, 847, 455, 526)"
,0.5,488.5,0,"(170, 847, 491, 526)"
,0.5,489.0,0,"(171, 884, 439, 617)"
,0.5,489.5,0,"(171, 854, 439, 587)"
,0.5,490.0,0,"(171, 854, 439, 587)"
,0.5,490.5,0,"(142, 854, 409, 587)"
,0.5,491.0,0,"(134, 883, 455, 562)"
,0.5,491.5,0,"(134, 883, 455, 562)"
,0.5,492.0,0,"(92, 759, 554, 297)"
,0.5,492.5,0,"(76, 718, 461, 332)"
,0.5,493.0,0,"(76, 675, 461, 290)"
,0.5,493.5,0,"(76, 589, 461, 204)"
,0.5,494.0,0,"(76, 546, 461, 161)"
,0.5,494.5,0,"(92, 605, 554, 142)"
,0.5,494.5,1,"(458, 93, 494, 57)"
,0.5,495.0,0,"(162, 504, 547, 118)"
,0.5,495.5,0,"(143, 553, 605, 91)"
,0.5,496.0,0,"(143, 553, 605, 91)"
,0.5,496.5,0,"(143, 502, 605, 40)"
,0.5,497.0,0,"(92, 605, 554, 142)"
,0.5,497.5,0,"(92, 656, 554, 194)"
,0.5,500.0,0,"(167, 855, 322, 700)"
,0.5,570.5,0,"(236, 752, 391, 597)"
,0.5,579.0,0,"(236, 717, 391, 562)"
,0.5,579.5,0,"(253, 700, 408, 545)"
,0.5,580.0,0,"(253, 717, 408, 562)"
,0.5,580.5,0,"(236, 752, 391, 597)"
,0.5,637.5,0,"(343, 617, 450, 509)"
,0.5,638.0,0,"(219, 924, 374, 769)"
,0.5,638.5,0,"(202, 786, 356, 631)"
,0.5,639.0,0,"(236, 803, 391, 648)"
,0.5,639.5,0,"(236, 769, 391, 614)"
,0.5,640.0,0,"(242, 510, 428, 324)"
,0.5,642.5,0,"(330, 829, 366, 793)"
,0.5,643.5,0,"(310, 749, 346, 713)"
,0.5,658.0,0,"(242, 489, 428, 304)"
,0.5,660.0,0,"(206, 315, 295, 225)"
,0.5,660.5,0,"(216, 305, 305, 215)"
,0.5,661.0,0,"(216, 285, 305, 195)"
,0.5,661.5,0,"(216, 275, 305, 185)"
,0.5,662.0,0,"(226, 285, 315, 195)"
,0.5,662.5,0,"(235, 270, 343, 163)"
,0.5,663.0,0,"(245, 285, 335, 195)"
,0.5,663.5,0,"(245, 394, 335, 305)"
,0.5,674.5,0,"(213, 834, 287, 760)"
,0.5,675.0,0,"(202, 786, 356, 631)"
,0.5,675.5,0,"(202, 803, 356, 648)"
,0.5,676.0,0,"(202, 803, 356, 648)"
,0.5,676.5,0,"(202, 803, 356, 648)"
