order,duration,onset,object_id,face_locations
,0.5,26.0,0,"(171, 328, 246, 254)"
,0.5,26.5,0,"(184, 294, 246, 232)"
,0.5,27.0,0,"(184, 335, 246, 273)"
,0.5,27.5,0,"(191, 356, 253, 294)"
,0.5,27.5,1,"(285, 743, 375, 653)"
,0.5,28.0,0,"(191, 363, 253, 301)"
,0.5,28.0,1,"(439, 933, 482, 890)"
,0.5,28.5,0,"(196, 361, 271, 287)"
,0.5,29.0,0,"(198, 301, 260, 239)"
,0.5,29.5,0,"(191, 308, 253, 246)"
,0.5,29.5,1,"(271, 581, 378, 474)"
,0.5,30.0,0,"(268, 832, 320, 780)"
,0.5,31.0,0,"(325, 593, 415, 504)"
,0.5,31.0,1,"(211, 335, 274, 273)"
,0.5,31.5,0,"(283, 617, 390, 509)"
,0.5,31.5,1,"(191, 308, 253, 246)"
,0.5,32.0,0,"(312, 668, 387, 594)"
,0.5,32.0,1,"(213, 320, 287, 245)"
,0.5,32.5,0,"(204, 303, 279, 229)"
,0.5,33.0,0,"(188, 270, 262, 196)"
,0.5,33.5,0,"(163, 361, 237, 287)"
,0.5,34.0,0,"(221, 378, 296, 303)"
,0.5,34.0,1,"(335, 763, 425, 673)"
,0.5,34.5,0,"(204, 378, 279, 303)"
,0.5,34.5,1,"(315, 693, 405, 603)"
,0.5,35.0,0,"(307, 736, 414, 629)"
,0.5,35.0,1,"(188, 378, 262, 303)"
,0.5,35.5,0,"(319, 653, 426, 545)"
,0.5,35.5,1,"(186, 394, 275, 305)"
,0.5,36.0,0,"(325, 640, 454, 511)"
,0.5,36.0,1,"(196, 444, 285, 354)"
,0.5,36.5,0,"(343, 629, 450, 521)"
,0.5,36.5,1,"(216, 404, 305, 315)"
,0.5,37.0,0,"(355, 617, 462, 509)"
,0.5,37.0,1,"(226, 444, 315, 354)"
,0.5,37.5,0,"(226, 454, 315, 364)"
,0.5,37.5,1,"(331, 617, 438, 509)"
,0.5,38.0,0,"(307, 629, 414, 521)"
,0.5,38.0,1,"(176, 454, 265, 364)"
,0.5,38.5,0,"(176, 504, 265, 414)"
,0.5,38.5,1,"(307, 677, 414, 569)"
,0.5,39.0,0,"(319, 593, 426, 485)"
,0.5,39.0,1,"(196, 404, 285, 315)"
,0.5,39.5,0,"(216, 414, 305, 325)"
,0.5,39.5,1,"(311, 597, 440, 468)"
,0.5,40.0,0,"(311, 583, 440, 454)"
,0.5,40.0,1,"(196, 384, 285, 295)"
,0.5,40.5,0,"(325, 640, 454, 511)"
,0.5,40.5,1,"(429, 101, 481, 49)"
,0.5,41.0,0,"(340, 655, 469, 526)"
,0.5,41.0,1,"(429, 95, 481, 43)"
,0.5,41.5,0,"(325, 669, 454, 540)"
,0.5,41.5,1,"(213, 295, 287, 220)"
,0.5,41.5,2,"(415, 88, 458, 45)"
,0.5,42.0,0,"(297, 726, 426, 597)"
,0.5,42.0,1,"(179, 287, 254, 212)"
,0.5,42.0,2,"(390, 109, 426, 73)"
,0.5,42.5,0,"(297, 698, 426, 569)"
,0.5,42.5,1,"(374, 101, 410, 65)"
,0.5,43.0,0,"(268, 712, 397, 583)"
,0.5,43.0,1,"(146, 285, 236, 195)"
,0.5,43.5,0,"(304, 685, 378, 610)"
,0.5,43.5,1,"(176, 384, 265, 295)"
,0.5,43.5,2,"(510, 951, 617, 844)"
,0.5,44.0,0,"(279, 677, 354, 602)"
,0.5,44.5,0,"(156, 335, 245, 245)"
,0.5,45.0,0,"(146, 374, 236, 285)"
,0.5,45.0,1,"(295, 689, 402, 581)"
,0.5,45.5,0,"(254, 798, 383, 669)"
,0.5,46.0,0,"(187, 330, 295, 223)"
,0.5,46.5,0,"(187, 306, 295, 199)"
,0.5,47.0,0,"(175, 378, 283, 270)"
,0.5,47.0,1,"(283, 880, 390, 772)"
,0.5,47.5,0,"(268, 870, 397, 741)"
,0.5,47.5,1,"(196, 374, 285, 285)"
,0.5,48.0,0,"(285, 902, 375, 812)"
,0.5,48.0,1,"(152, 306, 259, 199)"
,0.5,49.0,0,"(153, 268, 282, 139)"
,0.5,49.5,0,"(187, 247, 295, 139)"
,0.5,50.0,0,"(199, 247, 307, 139)"
,0.5,50.0,1,"(267, 294, 329, 232)"
,0.5,50.5,0,"(175, 223, 283, 115)"
