order,duration,onset,object_id,face_locations
,0.5,82.0,0,"(204, 760, 590, 375)"
,0.5,82.5,0,"(247, 974, 632, 589)"
,0.5,83.5,0,"(290, 974, 675, 589)"
,0.5,84.0,0,"(134, 812, 455, 491)"
,0.5,85.0,0,"(76, 803, 461, 418)"
,0.5,85.5,0,"(119, 760, 504, 375)"
,0.5,86.0,0,"(170, 919, 491, 598)"
,0.5,87.0,0,"(0, 546, 376, 161)"
,0.5,88.0,0,"(40, 656, 502, 194)"
,0.5,88.5,0,"(143, 605, 605, 142)"
,0.5,89.0,0,"(0, 546, 376, 161)"
,0.5,97.5,0,"(168, 597, 297, 468)"
,0.5,98.0,0,"(167, 631, 322, 476)"
,0.5,111.0,0,"(175, 472, 218, 429)"
,0.5,123.0,0,"(211, 330, 319, 223)"
,0.5,123.5,0,"(80, 342, 187, 235)"
,0.5,124.0,0,"(175, 438, 283, 330)"
,0.5,124.5,0,"(128, 485, 235, 378)"
,0.5,125.0,0,"(80, 462, 187, 354)"
,0.5,125.5,0,"(196, 497, 325, 368)"
,0.5,126.0,0,"(282, 540, 411, 411)"
,0.5,126.5,0,"(201, 795, 468, 527)"
,0.5,127.0,0,"(260, 825, 528, 557)"
,0.5,127.5,0,"(260, 795, 528, 527)"
,0.5,128.0,0,"(290, 854, 558, 587)"
,0.5,128.5,0,"(201, 914, 468, 646)"
,0.5,129.0,0,"(171, 943, 439, 676)"
,0.5,129.5,0,"(260, 973, 528, 706)"
,0.5,130.0,0,"(125, 468, 254, 339)"
,0.5,130.0,1,"(217, 984, 440, 761)"
,0.5,130.5,0,"(168, 583, 297, 454)"
,0.5,131.0,0,"(168, 597, 297, 468)"
,0.5,131.0,1,"(217, 1024, 440, 811)"
,0.5,131.5,0,"(10, 540, 139, 411)"
,0.5,148.5,0,"(0, 846, 376, 461)"
,0.5,149.0,0,"(204, 846, 590, 461)"
,0.5,149.5,0,"(0, 760, 376, 375)"
,0.5,150.0,0,"(162, 632, 547, 247)"
,0.5,150.5,0,"(119, 504, 504, 118)"
,0.5,151.0,0,"(119, 461, 504, 76)"
,0.5,151.5,0,"(40, 707, 502, 245)"
,0.5,152.0,0,"(92, 759, 554, 297)"
,0.5,152.5,0,"(291, 513, 514, 291)"
,0.5,153.0,0,"(142, 527, 409, 260)"
,0.5,153.5,0,"(112, 646, 379, 379)"
,0.5,154.0,0,"(142, 706, 409, 438)"
,0.5,154.5,0,"(201, 676, 468, 409)"
,0.5,155.0,0,"(260, 706, 528, 438)"
,0.5,176.0,0,"(76, 803, 461, 418)"
,0.5,176.5,0,"(76, 803, 461, 418)"
,0.5,177.0,0,"(76, 803, 461, 418)"
,0.5,177.5,0,"(76, 803, 461, 418)"
,0.5,178.0,0,"(49, 788, 603, 233)"
,0.5,178.5,0,"(49, 788, 603, 233)"
,0.5,196.5,0,"(49, 849, 603, 295)"
,0.5,197.0,0,"(143, 759, 605, 297)"
,0.5,201.0,0,"(92, 707, 554, 245)"
,0.5,201.5,0,"(49, 788, 603, 233)"
,0.5,202.0,0,"(49, 788, 603, 233)"
,0.5,202.5,0,"(49, 788, 603, 233)"
,0.5,203.0,0,"(49, 788, 603, 233)"
,0.5,224.0,0,"(106, 544, 196, 454)"
,0.5,229.5,0,"(106, 534, 196, 444)"
,0.5,230.0,0,"(106, 563, 196, 474)"
,0.5,231.0,0,"(113, 569, 188, 494)"
,0.5,231.5,0,"(116, 573, 206, 484)"
,0.5,303.0,0,"(0, 726, 542, 171)"
,0.5,303.5,0,"(0, 726, 542, 171)"
,0.5,304.0,0,"(0, 726, 542, 171)"
,0.5,304.5,0,"(0, 726, 542, 171)"
,0.5,314.5,0,"(305, 573, 395, 484)"
,0.5,315.0,0,"(305, 573, 395, 484)"
,0.5,315.5,0,"(305, 573, 395, 484)"
,0.5,316.0,0,"(305, 563, 395, 474)"
,0.5,316.5,0,"(305, 554, 395, 464)"
,0.5,317.0,0,"(305, 563, 395, 474)"
,0.5,317.5,0,"(315, 563, 405, 474)"
,0.5,318.0,0,"(315, 563, 405, 474)"
,0.5,321.0,0,"(118, 964, 304, 778)"
